Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
PP Shaw,2018-2019,2,2,0,69,65,34.50,41,168.29,0,1,0,6,3,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
HH Gibbs,2008-2008,4,4,0,67,47,16.75,60,111.66,0,0,0,9,2,
(Deccan Chargers),,,,,,,,,,,,,,,
MEK Hussey,2013-2013,1,1,0,67,67,67.00,42,159.52,0,1,0,5,4,
(Chennai Super Kings),,,,,,,,,,,,,,,
VVS Laxman,2008-2008,3,3,0,66,48,22.00,56,117.85,0,0,0,11,0,
(Deccan Chargers),,,,,,,,,,,,,,,
SR Tendulkar,2008-2013,3,3,0,65,28,21.66,55,118.18,0,0,0,10,0,
(Mumbai Indians),,,,,,,,,,,,,,,
PN Mankad,2023-2023,1,1,1,64,64*,-,45,142.22,0,1,0,7,2,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Shubman Gill,2018-2025,3,3,2,64,61*,64.00,47,136.17,0,1,0,9,0,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
A Badoni,2023-2025,3,2,1,61,55*,61.00,36,169.44,0,1,0,10,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Shahbaz Ahmed,2023-2024,7,3,1,61,40*,30.50,62,98.38,0,0,0,1,2,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KM Jadhav,2013-2019,4,4,1,60,31,20.00,37,162.16,0,0,0,4,3,
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DW Steyn,2008-2015,24,10,4,60,19*,10.00,53,113.20,0,0,1,6,1,
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BA Stokes,2017-2019,3,3,1,60,39,30.00,42,142.85,0,0,0,4,3,
"(Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
TH David,2023-2024,2,2,1,58,42*,58.00,33,175.75,0,0,0,4,3,
(Mumbai Indians),,,,,,,,,,,,,,,
B Kumar,2011-2024,49,15,4,58,21,5.27,64,90.62,0,0,3,7,1,
"(Pune Warriors, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SP Narine,2013-2023,7,5,0,57,29,11.40,26,219.23,0,0,0,7,4,
