Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
(Gujarat Titans),,,,,,,,,,,,,,,
DA Warner,2014-2023,2,2,0,8,6,4.00,9,88.88,0,0,0,0,0,
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
K Rabada,2021-2025,6,1,1,7,7*,-,5,140.00,0,0,0,0,1,
"(Delhi Capitals, Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
Sanvir Singh,2023-2024,2,2,0,7,7,3.50,7,100.00,0,0,1,0,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
BA Stokes,2023-2023,1,1,0,7,7,7.00,6,116.66,0,0,0,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
V Viyaskanth,2024-2024,1,1,1,7,7*,-,5,140.00,0,0,0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
JP Behrendorff,2023-2023,2,2,2,6,3*,-,9,66.66,0,0,0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,,
N Jagadeesan,2023-2023,1,1,0,6,6,6.00,8,75.00,0,0,0,1,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
K Kartikeya,2023-2023,2,1,0,6,6,6.00,7,85.71,0,0,0,1,0,
(Mumbai Indians),,,,,,,,,,,,,,,
RD Rickelton,2025-2025,1,1,0,6,6,6.00,9,66.66,0,0,0,1,0,
(Mumbai Indians),,,,,,,,,,,,,,,
DR Sams,2021-2021,2,2,1,6,3*,6.00,6,100.00,0,0,0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Sandeep Sharma,2015-2025,4,1,1,6,6*,-,5,120.00,0,0,0,0,0,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
Washington Sundar,2021-2024,2,2,0,6,6,3.00,10,60.00,0,0,1,0,0,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Anmolpreet Singh,2023-2023,1,1,0,5,5,5.00,4,125.00,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SA Asnodkar,2010-2010,1,1,0,5,5,5.00,4,125.00,0,0,0,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
SM Curran,2024-2024,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,,
Ravi Bishnoi,2021-2023,4,2,1,5,4*,5.00,9,55.55,0,0,0,1,0,
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
