Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
J Botha,2009-2015,34,34,115.4,0,800,25,03-Jun,32,6.91,27.7,0,0,
,,,,,,,,,,,,,,
R Dhawan,2013-2024,39,36,110.2,1,891,25,Feb-14,35.64,8.07,26.4,0,0,
,,,,,,,,,,,,,,
B Lee,2008-2013,38,38,145.5,3,1095,25,Mar-15,43.8,7.5,35,0,0,
,,,,,,,,,,,,,,
Naveen-ul-Haq,2023-2024,17,17,64.3,0,591,25,Apr-38,23.64,9.16,15.4,1,0,
,,,,,,,,,,,,,,
L Ngidi,2018-2021,14,14,54,2,448,25,04-Oct,17.92,8.29,12.9,1,0,
,,,,,,,,,,,,,,
Suresh Raina,2008-2021,204,69,151.2,0,1118,25,2/0,44.72,7.38,36.3,0,0,
,,,,,,,,,,,,,,
Sai Kishore,2022-2025,19,19,55.5,0,470,25,Apr-33,18.8,8.41,13.4,1,0,
,,,,,,,,,,,,,,
Yash Thakur,2023-2025,21,21,73.5,1,770,25,May-30,30.8,10.42,17.7,1,1,
,,,,,,,,,,,,,,
AS Rajpoot,2013-2020,29,29,88.1,1,814,24,May-14,33.91,9.23,22,0,1,
,,,,,,,,,,,,,,
JP Duminy,2009-2018,83,49,113,0,834,23,Apr-17,36.26,7.38,29.4,1,0,
,,,,,,,,,,,,,,
GB Hogg,2012-2016,21,21,76.2,1,570,23,Apr-29,24.78,7.46,19.9,1,0,
,,,,,,,,,,,,,,
NA Saini,2019-2023,32,32,109.4,1,974,23,Mar-40,42.34,8.88,28.6,0,0,
,,,,,,,,,,,,,,
SW Tait,2010-2013,21,21,78.5,1,635,23,Mar-13,27.6,8.05,20.5,0,0,
,,,,,,,,,,,,,,
Basil Thampi,2017-2022,25,25,86.5,1,846,22,Mar-29,38.45,9.74,23.6,0,0,
,,,,,,,,,,,,,,
STR Binny,2010-2019,95,63,99,0,758,22,Feb-14,34.45,7.65,27,0,0,
,,,,,,,,,,,,,,
