Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
VR Aaron,2011-2022,50,50,165.4,2,1481,44,3/16,33.65,8.93,22.5,0,0,
"(Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
M Pathirana,2022-2025,28,28,103.5,0,890,43,4/28,20.69,8.57,14.4,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,
MP Stoinis,2016-2025,102,68,144.3,0,1397,43,4/15,32.48,9.66,20.1,1,0,
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MC Henriques,2009-2021,62,60,158.2,0,1289,42,3/12,30.69,8.14,22.6,0,0,
"(Delhi Daredevils, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
YK Pathan,2008-2019,174,82,191.1,1,1415,42,3/20,33.69,7.40,27.3,0,0,
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AJ Tye,2017-2022,30,30,114.0,0,979,42,5/17,23.30,8.58,16.2,3,1,
"(Gujarat Lions, Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
GJ Maxwell,2012-2025,141,85,170.2,1,1413,41,2/15,34.46,8.29,24.9,0,0,
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Iqbal Abdulla,2008-2017,49,48,153.2,1,1109,40,3/24,27.72,7.23,23.0,0,0,
"(Kolkata Knight Riders, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
R Sharma,2010-2014,44,44,154.4,1,1086,40,3/13,27.15,7.02,23.2,0,0,
"(Deccan Chargers, Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,
S Sreesanth,2008-2013,44,44,146.4,4,1190,40,3/29,29.75,8.11,22.0,0,0,
"(Kings XI Punjab, Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,
P Awana,2012-2014,33,33,124.3,2,1029,39,4/34,26.38,8.26,19.1,1,0,
(Kings XI Punjab),,,,,,,,,,,,,,
Noor Ahmad,2023-2025,33,33,117.0,0,947,39,4/18,24.28,8.09,18.0,1,0,
"(Chennai Super Kings, Gujarat Titans)",,,,,,,,,,,,,,
Washington Sundar,2017-2025,64,61,184.3,1,1423,39,3/16,36.48,7.71,28.3,0,0,
"(Gujarat Titans, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MM Ali,2018-2025,71,55,137.2,1,963,38,4/26,25.34,7.01,21.6,1,0,
"(Chennai Super Kings, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
DT Christian,2011-2021,49,49,147.1,0,1192,38,2/10,31.36,8.09,23.2,0,0,
"(Deccan Chargers, Delhi Daredevils, Rising Pune Supergiant, Royal Challengers Bangalore)",,,,,,,,,,,,,,
PJ Sangwan,2008-2022,42,42,142.4,1,1240,38,3/18,32.63,8.69,22.5,0,0,
"(Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
DE Bollinger,2010-2012,27,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,
MS Gony,2008-2017,44,44,148.0,3,1287,37,3/31,34.78,8.69,24.0,0,0,
"(Chennai Super Kings, Deccan Chargers, Gujarat Lions, Kings XI Punjab)",,,,,,,,,,,,,,
M Markande,2018-2024,37,37,120.0,0,1069,37,4/15,28.89,8.90,19.4,2,0,
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MR Marsh,2010-2025,51,34,93.2,1,795,37,4/25,21.48,8.51,15.1,2,0,
"(Deccan Chargers, Delhi Capitals, Lucknow Super Giants, Pune Warriors, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Yash Dayal,2022-2025,38,38,128.1,0,1225,37,3/20,33.10,9.55,20.7,0,0,
"(Gujarat Titans, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Harshit Rana,2022-2025,30,29,97.1,1,905,36,3/24,25.13,9.31,16.1,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Yuvraj Singh,2008-2019,132,73,144.5,0,1077,36,4/29,29.91,7.43,24.1,2,0,
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
M Ashwin,2016-2023,44,44,145.0,0,1162,35,3/21,33.20,8.01,24.8,0,0,
"(Kings XI Punjab, Mumbai Indians, Punjab Kings, Rajasthan Royals, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
WD Parnell,2011-2023,33,33,120.3,1,937,35,3/10,26.77,7.77,20.6,0,0,
"(Delhi Daredevils, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,
P Negi,2012-2019,50,42,119.2,0,939,34,4/18,27.61,7.86,21.0,1,0,
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
M Theekshana,2022-2025,36,36,138.0,1,1119,34,4/33,32.91,8.10,24.3,1,0,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
KK Cooper,2012-2014,25,25,96.0,1,757,33,4/26,22.93,7.88,17.4,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,
Mukesh Kumar,2023-2025,30,30,98.0,1,1005,33,4/33,30.45,10.25,17.8,1,0,
(Delhi Capitals),,,,,,,,,,,,,,
R Tewatia,2014-2025,102,52,140.3,0,1111,32,3/18,34.71,7.90,26.3,0,0,
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
VG Arora,2022-2025,29,29,95.2,1,879,31,3/27,28.35,9.22,18.4,0,0,
"(Kolkata Knight Riders, Punjab Kings)",,,,,,,,,,,,,,
M Kartik,2008-2014,56,55,191.4,1,1388,31,3/17,44.77,7.24,37.0,0,0,
"(Kings XI Punjab, Kolkata Knight Riders, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,
NLTC Perera,2010-2016,37,36,116.2,0,1016,31,3/20,32.77,8.73,22.5,0,0,
"(Chennai Super Kings, Kings XI Punjab, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
A Zampa,2016-2025,22,22,77.5,0,652,31,6/19,21.03,8.37,15.0,0,1,
"(Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
M Jansen,2021-2025,31,31,107.1,1,1002,30,3/17,33.40,9.34,21.4,0,0,
"(Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
CJ Jordan,2016-2023,34,34,111.2,1,1070,30,4/11,35.66,9.61,22.2,1,0,
"(Chennai Super Kings, Kings XI Punjab, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Shivam Mavi,2018-2022,32,32,108.1,2,942,30,4/21,31.40,8.70,21.6,1,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
CR Woakes,2017-2021,21,21,73.2,0,658,30,3/6,21.93,8.97,14.6,0,0,
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AB Agarkar,2008-2013,42,42,130.2,0,1151,29,3/25,39.68,8.83,26.9,0,0,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
Azhar Mahmood,2012-2015,23,23,89.3,0,700,29,3/20,24.13,7.82,18.5,0,0,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
Harpreet Brar,2019-2025,45,42,121.1,1,968,29,4/30,33.37,7.98,25.0,1,0,
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,
Umran Malik,2021-2024,26,26,82.1,1,772,29,5/25,26.62,9.39,17.0,1,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
DP Nannes,2009-2013,29,29,107.3,1,785,28,3/27,28.03,7.30,23.0,0,0,
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
A Singh,2009-2012,23,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,
BA Stokes,2017-2023,45,38,114.5,2,992,28,3/15,35.42,8.63,24.6,0,0,
"(Chennai Super Kings, Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,
PV Tambe,2013-2016,33,33,110.0,0,853,28,4/20,30.46,7.75,23.5,1,0,
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,
DL Vettori,2008-2012,34,34,129.3,0,879,28,3/15,31.39,6.78,27.7,0,0,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MF Maharoof,2008-2010,20,20,70.0,0,520,27,3/34,19.25,7.42,15.5,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
AD Mathews,2009-2017,49,44,131.5,0,1079,27,4/19,39.96,8.18,29.2,1,0,
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
Mohsin Khan,2022-2024,23,23,81.0,2,689,27,4/16,25.51,8.50,18.0,1,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
Harmeet Singh,2009-2013,27,27,87.3,0,697,26,3/24,26.80,7.96,20.1,0,0,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
DR Smith,2008-2017,91,46,89.5,0,810,26,4/8,31.15,9.01,20.7,1,0,
