Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
Marco Jansen,2021-2025,4,4,2,21,17*,10.5,27,77.77,0,0,2,2,0,M. A. Chidambaram Stadium
Z Khan,2011-2012,4,2,1,21,21,21,21,100,0,0,0,2,0,M. A. Chidambaram Stadium
AB Agarkar,2008-2011,3,2,1,20,11,20,14,142.85,0,0,0,3,0,M. A. Chidambaram Stadium
ST Jayasuriya,2008-2008,1,1,0,20,20,20,11,181.81,0,0,0,4,0,M. A. Chidambaram Stadium
RR Sarwan,2008-2008,1,1,0,20,20,20,22,90.9,0,0,0,0,0,M. A. Chidambaram Stadium
Shahid Afridi,2008-2008,1,1,1,20,20*,-,6,333.33,0,0,0,2,2,M. A. Chidambaram Stadium
J Suchith,2015-2021,3,2,1,20,14*,20,21,95.23,0,0,0,2,1,M. A. Chidambaram Stadium
DE Bollinger,2010-2012,14,2,1,19,16*,19,19,100,0,0,0,1,1,M. A. Chidambaram Stadium
Y Gnaneswara Rao,2011-2011,1,1,0,19,19,19,17,111.76,0,0,0,3,0,M. A. Chidambaram Stadium
DJG Sammy,2013-2013,1,1,0,19,19,19,12,158.33,0,0,0,2,1,M. A. Chidambaram Stadium
Aniket Verma,2025-2025,1,1,0,19,19,19,19,100,0,0,0,0,2,M. A. Chidambaram Stadium
Azhar Mahmood,2012-2012,1,1,0,18,18,18,12,150,0,0,0,0,2,M. A. Chidambaram Stadium
L Balaji,2008-2013,8,3,0,18,15,6,22,81.81,0,0,1,1,1,M. A. Chidambaram Stadium
Harry Brook,2023-2023,1,1,0,18,18,18,13,138.46,0,0,0,3,0,M. A. Chidambaram Stadium
MV Boucher,2008-2008,1,1,0,17,17,17,15,113.33,0,0,0,3,0,M. A. Chidambaram Stadium
B Chipli,2011-2011,1,1,0,17,17,17,15,113.33,0,0,0,0,0,M. A. Chidambaram Stadium
Naman Dhir,2025-2025,1,1,0,17,17,17,12,141.66,0,0,0,1,0,M. A. Chidambaram Stadium
SM Pollock,2008-2008,1,1,0,17,17,17,15,113.33,0,0,0,0,1,M. A. Chidambaram Stadium
MD Shanaka,2023-2023,1,1,0,17,17,17,16,106.25,0,0,0,1,1,M. A. Chidambaram Stadium
D Wiese,2015-2015,1,1,0,17,17,17,14,121.42,0,0,0,2,0,M. A. Chidambaram Stadium
UBT Chand,2013-2013,1,1,0,16,16,16,12,133.33,0,0,0,2,1,M. A. Chidambaram Stadium
JP Faulkner,2013-2015,2,1,0,16,16,16,13,123.07,0,0,0,2,0,M. A. Chidambaram Stadium
Joginder Sharma,2008-2008,4,2,1,16,16,16,10,160,0,0,0,1,1,M. A. Chidambaram Stadium
Mohammad Hafeez,2008-2008,1,1,0,16,16,16,24,66.66,0,0,0,1,0,M. A. Chidambaram Stadium
NL McCullum,2011-2011,1,1,0,15,15,15,16,93.75,0,0,0,0,0,M. A. Chidambaram Stadium
Virat Singh,2021-2021,3,2,0,15,11,7.5,26,57.69,0,0,0,1,0,M. A. Chidambaram Stadium
Rahul Chahar,2019-2024,9,3,0,14,8,4.66,13,107.69,0,0,1,1,0,M. A. Chidambaram Stadium
MC Henriques,2021-2021,2,1,0,14,14,14,17,82.35,0,0,0,0,0,M. A. Chidambaram Stadium
Mohammad Nabi,2021-2021,1,1,0,14,14,14,11,127.27,0,0,0,2,0,M. A. Chidambaram Stadium
AUK Pathan,2011-2011,1,1,0,14,14,14,5,280,0,0,0,2,1,M. A. Chidambaram Stadium
RE van der Merwe,2012-2013,2,1,0,14,14,14,16,87.5,0,0,0,1,0,M. A. Chidambaram Stadium
JJ van der Wath,2011-2011,1,1,1,14,14*,-,10,140,0,0,0,1,1,M. A. Chidambaram Stadium
LA Pomersbach,2011-2013,3,3,0,13,7,4.33,16,81.25,0,0,0,1,0,M. A. Chidambaram Stadium
Ramandeep Singh,2024-2025,3,1,0,13,13,13,12,108.33,0,0,0,0,1,M. A. Chidambaram Stadium
Ryan Rickelton,2025-2025,1,1,0,13,13,13,7,185.71,0,0,0,3,0,M. A. Chidambaram Stadium
Sikandar Raza,2023-2023,1,1,1,13,13*,-,7,185.71,0,0,0,1,0,M. A. Chidambaram Stadium
A Taide,2023-2023,1,1,0,13,13,13,17,76.47,0,0,0,0,0,M. A. Chidambaram Stadium
VVS Laxman,2010-2010,1,1,0,12,12,12,11,109.09,0,0,0,2,0,M. A. Chidambaram Stadium
Jason Roy,2023-2023,1,1,0,12,12,12,15,80,0,0,0,1,0,M. A. Chidambaram Stadium
Azmatullah Omarzai,2024-2025,2,1,0,11,11,11,10,110,0,0,0,1,0,M. A. Chidambaram Stadium
DB Das,2012-2013,2,1,1,11,11*,-,4,275,0,0,0,2,0,M. A. Chidambaram Stadium
Will Jacks,2025-2025,1,1,0,11,11,11,7,157.14,0,0,0,2,0,M. A. Chidambaram Stadium
A Mithun,2011-2011,2,1,0,11,11,11,8,137.5,0,0,0,2,0,M. A. Chidambaram Stadium
Shaik Rasheed,2025-2025,2,2,0,11,11,5.5,13,84.61,0,0,1,1,1,M. A. Chidambaram Stadium
Anureet Singh,2015-2015,1,1,0,10,10,10,20,50,0,0,0,0,0,M. A. Chidambaram Stadium
AC Blizzard,2011-2011,1,1,0,10,10,10,11,90.9,0,0,0,2,0,M. A. Chidambaram Stadium
SP Goswami,2008-2012,2,1,0,10,10,10,19,52.63,0,0,0,1,0,M. A. Chidambaram Stadium
T Kohler-Cadmore,2024-2024,1,1,0,10,10,10,16,62.5,0,0,0,1,0,M. A. Chidambaram Stadium
KK Nair,2015-2015,1,1,0,10,10,10,12,83.33,0,0,0,1,0,M. A. Chidambaram Stadium
Noor Ahmad,2023-2025,7,5,2,10,7*,3.33,19,52.63,0,0,1,1,0,M. A. Chidambaram Stadium
RV Patel,2023-2023,1,1,0,10,10,10,16,62.5,0,0,0,0,0,M. A. Chidambaram Stadium
TL Suman,2010-2013,2,1,1,10,10*,-,5,200,0,0,0,2,0,M. A. Chidambaram Stadium
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10,17,58.82,0,0,0,0,0,M. A. Chidambaram Stadium
Jaydev Unadkat,2019-2025,5,4,1,10,5,3.33,15,66.66,0,0,0,1,0,M. A. Chidambaram Stadium
MA Wood,2023-2023,1,1,1,10,10*,-,3,333.33,0,0,0,1,1,M. A. Chidambaram Stadium
M Ashwin,2019-2021,2,1,0,9,9,9,10,90,0,0,0,1,0,M. A. Chidambaram Stadium
MA Khote,2008-2008,1,1,0,9,9,9,5,180,0,0,0,0,1,M. A. Chidambaram Stadium
Bhuvneshwar Kumar,2012-2025,13,6,5,9,4*,9,14,64.28,0,0,0,0,0,M. A. Chidambaram Stadium
MD Mishra,2011-2011,1,1,0,9,9,9,9,100,0,0,0,1,0,M. A. Chidambaram Stadium
Rahul Tewatia,2023-2024,2,2,0,9,6,4.5,16,56.25,0,0,0,1,0,M. A. Chidambaram Stadium
CA Ingram,2011-2019,2,2,0,8,7,4,17,47.05,0,0,0,1,0,M. A. Chidambaram Stadium
AA Jhunjhunwala,2010-2012,2,2,1,8,7,8,5,160,0,0,0,0,1,M. A. Chidambaram Stadium
M Kartik,2008-2013,4,3,2,8,4*,8,8,100,0,0,0,0,0,M. A. Chidambaram Stadium
AB McDonald,2011-2011,1,1,0,8,8,8,7,114.28,0,0,0,0,0,M. A. Chidambaram Stadium
Mohammed Shami,2013-2025,6,2,0,8,5,4,8,100,0,0,0,1,0,M. A. Chidambaram Stadium
DH Yagnik,2011-2013,2,2,1,8,7,8,9,88.88,0,0,0,1,0,M. A. Chidambaram Stadium
Bipul Sharma,2012-2012,1,1,0,7,7,7,5,140,0,0,0,1,0,M. A. Chidambaram Stadium
S Kaul,2013-2021,3,1,1,7,7*,-,9,77.77,0,0,0,0,0,M. A. Chidambaram Stadium
SL Malinga,2010-2019,5,1,0,7,7,7,5,140,0,0,0,0,1,M. A. Chidambaram Stadium
MR Marsh,2013-2023,2,2,0,7,5,3.5,8,87.5,0,0,0,1,0,M. A. Chidambaram Stadium
B Akhil,2008-2008,1,1,1,6,6*,-,7,85.71,0,0,0,1,0,M. A. Chidambaram Stadium
FA Allen,2021-2021,2,1,0,6,6,6,11,54.54,0,0,0,0,0,M. A. Chidambaram Stadium
Jos Inglis,2025-2025,1,1,1,6,6*,-,6,100,0,0,0,1,0,M. A. Chidambaram Stadium
SB Jakati,2010-2012,23,1,1,6,6*,-,10,60,0,0,0,0,0,M. A. Chidambaram Stadium
RT Ponting,2008-2013,2,2,0,6,6,3,11,54.54,0,0,1,0,0,M. A. Chidambaram Stadium
Romen Powell,2024-2024,1,1,0,6,6,6,12,50,0,0,0,0,0,M. A. Chidambaram Stadium
N Saini,2012-2012,1,1,0,6,6,6,4,150,0,0,0,1,0,M. A. Chidambaram Stadium
R Vinay Kumar,2008-2018,7,2,1,6,6*,6,2,300,0,0,1,0,1,M. A. Chidambaram Stadium
KB Arun Karthik,2013-2013,1,1,1,5,5*,-,5,100,0,0,0,0,0,M. A. Chidambaram Stadium
NM Coulter-Nile,2015-2015,1,1,0,5,5,5,4,125,0,0,0,1,0,M. A. Chidambaram Stadium
Spencer Johnson,2024-2024,1,1,1,5,5*,-,5,100,0,0,0,1,0,M. A. Chidambaram Stadium
Anshul Kamboj,2025-2025,3,3,1,5,3*,2.5,8,62.5,0,0,1,0,0,M. A. Chidambaram Stadium
KMDN Kulasekara,2012-2012,3,1,1,5,5*,-,3,166.66,0,0,0,1,0,M. A. Chidambaram Stadium
JDP Oram,2008-2008,2,1,1,5,5*,-,2,250,0,0,0,1,0,M. A. Chidambaram Stadium
I Sharma,2008-2023,5,2,2,5,4*,-,4,125,0,0,0,0,0,M. A. Chidambaram Stadium
DR Shorey,2019-2019,1,1,0,5,5,5,8,62.5,0,0,0,0,0,M. A. Chidambaram Stadium
JJ Bumrah,2019-2021,7,3,2,4,3*,4,6,66.66,0,0,1,0,0,M. A. Chidambaram Stadium
Yuzvendra Chahal,2015-2025,9,2,1,4,4,4,12,33.33,0,0,0,0,0,M. A. Chidambaram Stadium
C de Grandhomme,2019-2019,1,1,0,4,4,4,6,66.66,0,0,0,1,0,M. A. Chidambaram Stadium
FY Fazal,2010-2010,1,1,0,4,4,4,5,80,0,0,0,0,0,M. A. Chidambaram Stadium
CM Gautam,2015-2015,1,1,0,4,4,4,5,80,0,0,0,0,0,M. A. Chidambaram Stadium
JO Holder,2013-2023,5,2,0,4,4,2,6,66.66,0,0,1,0,0,M. A. Chidambaram Stadium
CJ Jordan,2023-2023,1,1,0,4,4,4,7,57.14,0,0,0,0,0,M. A. Chidambaram Stadium
NJ Maddinson,2015-2015,1,1,0,4,4,4,7,57.14,0,0,0,1,0,M. A. Chidambaram Stadium
Misbah-ul-Haq,2008-2008,1,1,0,4,4,4,6,66.66,0,0,0,0,0,M. A. Chidambaram Stadium
HV Patel,2015-2025,6,3,2,4,4*,4,4,100,0,0,1,0,0,M. A. Chidambaram Stadium
BJ Rohrer,2013-2013,1,1,0,4,4,4,5,80,0,0,0,0,0,M. A. Chidambaram Stadium
Karn Sharma,2013-2024,3,1,0,4,4,4,6,66.66,0,0,0,0,0,M. A. Chidambaram Stadium
Trent Boult,2015-2025,10,5,4,3,1*,3,7,42.85,0,0,0,0,0,M. A. Chidambaram Stadium
Iqbal Abdulla,2010-2015,5,3,2,3,3*,3,7,42.85,0,0,1,0,0,M. A. Chidambaram Stadium
T Kohli,2008-2008,1,1,0,3,3,3,3,100,0,0,0,0,0,M. A. Chidambaram Stadium
PN Mankad,2023-2023,1,1,0,3,3,3,6,50,0,0,0,0,0,M. A. Chidambaram Stadium
Robin Minz,2025-2025,1,1,0,3,3,3,9,33.33,0,0,0,0,0,M. A. Chidambaram Stadium
Ravi Bishnoi,2021-2024,4,1,0,3,3,3,6,50,0,0,0,0,0,M. A. Chidambaram Stadium
Ankul Roy,2019-2024,2,1,1,3,3*,-,3,100,0,0,0,0,0,M. A. Chidambaram Stadium
S Tyagi,2010-2010,3,1,1,3,3*,-,4,75,0,0,0,0,0,M. A. Chidambaram Stadium
DL Vettori,2011-2012,4,3,1,3,2*,1.5,4,75,0,0,1,0,0,M. A. Chidambaram Stadium
KK Ahmed,2019-2025,11,3,2,2,1*,2,4,50,0,0,0,0,0,M. A. Chidambaram Stadium
Aman Hakim Khan,2023-2023,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,M. A. Chidambaram Stadium
TK Curran,2018-2018,1,1,1,2,2*,-,5,40,0,0,0,0,0,M. A. Chidambaram Stadium
GB Hogg,2012-2015,2,1,1,2,2*,-,1,200,0,0,0,0,0,M. A. Chidambaram Stadium
Imran Tahir,2015-2019,10,2,1,2,2,2,2,100,0,0,0,0,0,M. A. Chidambaram Stadium
Karanveer Singh,2015-2015,1,1,1,2,2*,-,5,40,0,0,0,0,0,M. A. Chidambaram Stadium
A Kumble,2008-2010,2,1,1,2,2*,-,1,200,0,0,0,0,0,M. A. Chidambaram Stadium
Parvez Rasool,2015-2015,1,1,1,2,2*,-,2,100,0,0,0,0,0,M. A. Chidambaram Stadium
RR Powar,2010-2010,1,1,1,2,2*,-,1,200,0,0,0,0,0,M. A. Chidambaram Stadium
CA Pujara,2011-2012,2,2,0,2,2,1,5,40,0,0,1,0,0,M. A. Chidambaram Stadium
AS Rajpoot,2013-2013,1,1,1,2,2*,-,6,33.33,0,0,0,0,0,M. A. Chidambaram Stadium
AS Raut,2010-2010,1,1,1,2,2*,-,4,50,0,0,0,0,0,M. A. Chidambaram Stadium
L Ronchi,2008-2008,1,1,0,2,2,2,3,66.66,0,0,0,0,0,M. A. Chidambaram Stadium
SE Rutherford,2019-2019,1,1,0,2,2,2,4,50,0,0,0,0,0,M. A. Chidambaram Stadium
NA Saini,2019-2019,1,1,0,2,2,2,3,66.66,0,0,0,0,0,M. A. Chidambaram Stadium
Mohit Sharma,2013-2025,16,2,1,2,2*,2,1,200,0,0,1,0,0,M. A. Chidambaram Stadium
J Syed Mohammad,2011-2013,3,1,1,2,2*,-,2,100,0,0,0,0,0,M. A. Chidambaram Stadium
JE Taylor,2011-2011,1,1,0,2,2,2,1,200,0,0,0,0,0,M. A. Chidambaram Stadium
Varun Chakaravarthy,2021-2025,7,1,1,2,2*,-,3,66.66,0,0,0,0,0,M. A. Chidambaram Stadium
GH Vihari,2013-2013,1,1,0,2,2,2,3,66.66,0,0,0,0,0,M. A. Chidambaram Stadium
Vaibhav Arora,2023-2025,4,1,1,1,1*,-,1,100,0,0,0,0,0,M. A. Chidambaram Stadium
Arshad Khan,2023-2023,1,1,0,1,1,1,2,50,0,0,0,0,0,M. A. Chidambaram Stadium
Arshdeep Singh,2021-2025,5,1,1,1,1*,-,2,50,0,0,0,0,0,M. A. Chidambaram Stadium
GJ Bailey,2015-2015,1,1,0,1,1,1,3,33.33,0,0,0,0,0,M. A. Chidambaram Stadium
TM Dilshan,2010-2011,2,2,0,1,1,0.5,3,33.33,0,0,1,0,0,M. A. Chidambaram Stadium
K Goel,2008-2008,1,1,0,1,1,1,7,14.28,0,0,0,0,0,M. A. Chidambaram Stadium
HF Gurney,2019-2019,1,1,1,1,1*,-,5,20,0,0,0,0,0,M. A. Chidambaram Stadium
MG Johnson,2013-2015,2,1,0,1,1,1,2,50,0,0,0,0,0,M. A. Chidambaram Stadium
R McLaren,2010-2010,1,1,0,1,1,1,3,33.33,0,0,0,0,0,M. A. Chidambaram Stadium
Mujeeb Ur Rahman,2021-2021,1,1,1,1,1*,-,1,100,0,0,0,0,0,M. A. Chidambaram Stadium
M Muralidaran,2008-2012,14,1,0,1,1,1,2,50,0,0,0,0,0,M. A. Chidambaram Stadium
Naveen-ul-Haq,2023-2023,1,1,1,1,1*,-,5,20,0,0,0,0,0,M. A. Chidambaram Stadium
A Nehra,2008-2015,11,3,2,1,1*,1,4,25,0,0,1,0,0,M. A. Chidambaram Stadium
Vipraj Nigam,2025-2025,1,1,1,1,1*,-,2,50,0,0,0,0,0,M. A. Chidambaram Stadium
Satyanarayana Raju,2025-2025,1,1,1,1,1*,-,1,100,0,0,0,0,0,M. A. Chidambaram Stadium
Sandeep Sharma,2015-2024,6,1,1,1,1*,-,4,25,0,0,0,0,0,M. A. Chidambaram Stadium
Abishek Sharma,2024-2025,2,1,0,1,1,1,1,100,0,0,0,0,0,M. A. Chidambaram Stadium
R Sharma,2011-2013,3,1,0,1,1,1,1,100,0,0,0,0,0,M. A. Chidambaram Stadium
Mitchell Starc,2015-2025,4,2,0,1,1,0.5,10,10,0,0,1,0,0,M. A. Chidambaram Stadium
Suryansh Shedge,2025-2025,1,1,0,1,1,1,3,33.33,0,0,0,0,0,M. A. Chidambaram Stadium
PV Tambe,2015-2015,1,1,1,1,1*,-,1,100,0,0,0,0,0,M. A. Chidambaram Stadium
AC Thomas,2011-2011,1,1,1,1,1*,-,2,50,0,0,0,0,0,M. A. Chidambaram Stadium
Adam Zampa,2023-2023,1,1,0,1,1,1,1,100,0,0,0,0,0,M. A. Chidambaram Stadium
VR Aaron,2011-2012,3,1,0,0,0,0,2,0,0,0,1,0,0,M. A. Chidambaram Stadium
Ankit Sharma,2012-2015,2,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
Anmolpreet Singh,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
P Awana,2012-2013,2,1,1,0,0*,-,0,-,0,0,0,0,0,M. A. Chidambaram Stadium
R Bhatia,2008-2015,6,2,1,0,0*,0,2,0,0,0,1,0,0,M. A. Chidambaram Stadium
RR Bhatkal,2012-2012,1,1,0,0,0,0,2,0,0,0,1,0,0,M. A. Chidambaram Stadium
TU Deshpande,2023-2024,14,1,1,0,0*,-,1,0,0,0,0,0,0,M. A. Chidambaram Stadium
AB Dinda,2008-2013,3,1,1,0,0*,-,0,-,0,0,0,0,0,M. A. Chidambaram Stadium
SB Dubey,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
Jack Fraser-McGurk,2025-2025,1,1,0,0,0,0,5,0,0,0,1,0,0,M. A. Chidambaram Stadium
C Ganapathy,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0,M. A. Chidambaram Stadium
S Gopal,2019-2019,1,1,0,0,0,0,3,0,0,0,1,0,0,M. A. Chidambaram Stadium
Sunny Gupta,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
Gurkeerat Singh,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
U Kaul,2008-2008,1,1,1,0,0*,-,1,0,0,0,0,0,0,M. A. Chidambaram Stadium
Kuldeep Yadav,2018-2025,4,2,1,0,0*,0,2,0,0,0,1,0,0,M. A. Chidambaram Stadium
B Laughlin,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
Mohammed Siraj,2019-2024,5,2,2,0,0*,-,2,0,0,0,0,0,0,M. A. Chidambaram Stadium
Mohsin Khan,2023-2024,2,1,0,0,0,0,7,0,0,0,1,0,0,M. A. Chidambaram Stadium
A Mukund,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
DJ Muthuswami,2015-2015,1,1,1,0,0*,-,0,-,0,0,0,0,0,M. A. Chidambaram Stadium
S Nadeem,2011-2021,2,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
DG Nalkande,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
DP Nannes,2010-2013,5,1,1,0,0*,-,0,-,0,0,0,0,0,M. A. Chidambaram Stadium
T Natarajan,2021-2024,5,1,1,0,0*,-,0,-,0,0,0,0,0,M. A. Chidambaram Stadium
M Ntini,2008-2008,4,1,1,0,0*,-,6,0,0,0,0,0,0,M. A. Chidambaram Stadium
Prasidh Krishna,2019-2021,4,1,0,0,0,0,2,0,0,0,1,0,0,M. A. Chidambaram Stadium
R Rampaul,2013-2013,1,1,0,0,0,0,4,0,0,0,1,0,0,M. A. Chidambaram Stadium
HR Shokeen,2023-2023,1,1,1,0,0*,-,1,0,0,0,0,0,0,M. A. Chidambaram Stadium
VRV Singh,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
S Sreesanth,2008-2011,2,1,1,0,0*,-,0,-,0,0,0,0,0,M. A. Chidambaram Stadium
J Theron,2010-2010,1,1,0,0,0,0,1,0,0,0,1,0,0,M. A. Chidambaram Stadium
P Amarnath,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
S Ladda,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Akash Singh,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Anirudh Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
S Aravind,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Avesh Khan,2021-2024,5,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
SB Bangar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
JP Behrendorff,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
BA Bhatt,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
N Burger,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
A Chandila,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
PD Collingwood,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
KK Cooper,2012-2013,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
MJ Dagar,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
M de Lange,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
ND Doshi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Nathan Ellis,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
RJ Gleeson,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
R Goyal,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
RS Hangargekar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Harmeet Singh,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Harpreet Brar,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Harshit Rana,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Josh Hazlewood,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
MJ Henry,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
BW Hilfenhaus,2012-2012,4,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Jaskaran Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
AS Joseph,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
S Randiv,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
CK Kapugedera,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
SC Kuggeleijn,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
DS Kulkarni,2008-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
B Lee,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
MJ McClenaghan,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
GD McGrath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
SSB Magala,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
VY Mahesh,2008-2012,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
A Madhwal,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
M Markande,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
AF Milne,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Mohammad Asif,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
M Morkel,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Mukesh Choudhary,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Mukesh Kumar,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Mustafizur Rahman,2024-2024,6,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
S Narwal,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
R Ninan,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
PP Ojha,2008-2013,5,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
IC Pandey,2015-2015,5,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Pankaj Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
MM Patel,2008-2013,3,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Matheesha Pathirana,2023-2025,13,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
V Pratap Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Vignesh Puthur,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Kagiso Rabada,2021-2024,4,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Sai Kishore,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
D Salunkhe,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
PJ Sangwan,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
KR Sen,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Shoaib Malik,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
R Shukla,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Simarjeet Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
RP Singh,2008-2013,4,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
A Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
Sohail Tanvir,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
TG Southee,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-,M. A. Chidambaram Stadium
