Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
Rilee Rossouw,2023-2024,2,2,0,78,43,39,60,130,0,0,0,7,3,M. A. Chidambaram Stadium
Yashasvi Jaiswal,2023-2024,3,3,0,76,42,25.33,50,152,0,0,0,9,4,M. A. Chidambaram Stadium
EJG Morgan,2011-2021,5,5,1,76,32*,19,61,124.59,0,0,0,5,4,M. A. Chidambaram Stadium
LR Shukla,2008-2012,5,5,1,76,42,19,59,128.81,0,0,0,6,3,M. A. Chidambaram Stadium
MK Tiwary,2010-2012,4,4,1,76,27,25.33,62,122.58,0,0,0,6,2,M. A. Chidambaram Stadium
S Anirudha,2008-2013,10,6,2,75,64,18.75,73,102.73,0,1,1,6,2,M. A. Chidambaram Stadium
SN Khan,2015-2019,2,2,0,75,67,37.5,67,111.94,0,1,0,5,2,M. A. Chidambaram Stadium
AD Mathews,2010-2012,2,2,0,75,48,37.5,70,107.14,0,0,0,4,2,M. A. Chidambaram Stadium
Dewald Brevis,2025-2025,2,2,0,74,42,37,51,145.09,0,0,0,3,5,M. A. Chidambaram Stadium
DPMD Jayawardene,2008-2012,4,4,0,74,55,18.5,59,125.42,0,1,0,5,3,M. A. Chidambaram Stadium
Mandeep Singh,2012-2019,4,4,1,72,56,24,66,109.09,0,1,1,7,1,M. A. Chidambaram Stadium
CA Lynn,2018-2021,3,3,0,71,49,23.66,56,126.78,0,0,1,8,3,M. A. Chidambaram Stadium
KR Mayers,2023-2023,2,2,0,71,53,35.5,35,202.85,0,1,0,11,2,M. A. Chidambaram Stadium
Abhishek Sharma,2021-2025,8,7,0,70,34,10,57,122.8,0,0,1,5,3,M. A. Chidambaram Stadium
Sameer Rizvi,2024-2025,6,4,1,70,21,23.33,52,134.61,0,0,0,5,3,M. A. Chidambaram Stadium
AJ Finch,2013-2013,1,1,0,67,67,67,45,148.88,0,1,0,10,2,M. A. Chidambaram Stadium
Y Venugopal Rao,2008-2012,4,3,0,67,30,22.33,51,131.37,0,0,0,2,5,M. A. Chidambaram Stadium
Travis Head,2024-2025,4,4,0,66,34,16.5,52,126.92,0,0,1,8,2,M. A. Chidambaram Stadium
Nicolas Pooran,2021-2024,5,4,0,66,34,16.5,34,194.11,0,0,2,5,5,M. A. Chidambaram Stadium
Cameron Green,2023-2024,3,3,0,65,41,21.66,49,132.65,0,0,0,8,1,M. A. Chidambaram Stadium
Aidem Markram,2023-2024,4,4,0,65,32,16.25,63,103.17,0,0,0,8,0,M. A. Chidambaram Stadium
Venkatesh Iyer,2023-2025,4,3,1,64,52*,32,38,168.42,0,1,0,6,3,M. A. Chidambaram Stadium
PP Shaw,2019-2021,3,3,0,64,53,21.33,49,130.61,0,1,0,9,1,M. A. Chidambaram Stadium
BJ Hodge,2011-2013,3,3,3,63,51*,-,53,118.86,0,1,0,4,2,M. A. Chidambaram Stadium
S Vidyut,2008-2008,3,3,0,62,54,20.66,44,140.9,0,1,1,9,1,M. A. Chidambaram Stadium
Axar Patel,2015-2025,5,4,0,60,21,15,45,133.33,0,0,0,5,3,M. A. Chidambaram Stadium
Rajat Patidar,2021-2025,4,4,0,60,51,15,45,133.33,0,1,1,5,3,M. A. Chidambaram Stadium
P Negi,2012-2015,4,4,1,59,36,19.66,33,178.78,0,0,0,5,3,M. A. Chidambaram Stadium
SV Samson,2015-2024,5,5,0,59,26,11.8,59,100,0,0,1,3,2,M. A. Chidambaram Stadium
Tilak Varma,2023-2025,2,2,0,57,31,28.5,47,121.27,0,0,0,2,4,M. A. Chidambaram Stadium
SW Billings,2018-2018,1,1,0,56,56,56,23,243.47,0,1,0,2,5,M. A. Chidambaram Stadium
S Sohal,2011-2011,1,1,0,56,56,56,30,186.66,0,1,0,6,4,M. A. Chidambaram Stadium
HH Gibbs,2008-2010,2,2,0,55,45,27.5,46,119.56,0,0,0,6,2,M. A. Chidambaram Stadium
YK Pathan,2008-2019,8,8,2,55,13,9.16,57,96.49,0,0,0,2,1,M. A. Chidambaram Stadium
OA Shah,2011-2012,2,2,0,55,52,27.5,46,119.56,0,1,0,4,3,M. A. Chidambaram Stadium
Ben Stokes,2019-2023,2,2,0,54,46,27,34,158.82,0,0,0,2,3,M. A. Chidambaram Stadium
Kamran Akmal,2008-2008,1,1,1,53,53*,-,28,189.28,0,1,0,4,3,M. A. Chidambaram Stadium
Riyan Parag,2024-2024,2,2,1,53,47*,53,45,117.77,0,0,0,1,3,M. A. Chidambaram Stadium
Nitish Kumar Reddy,2024-2025,4,4,1,52,19*,17.33,48,108.33,0,0,0,3,1,M. A. Chidambaram Stadium
